conjunto,modelo,threshold,accuracy,precision_resolvida,recall_resolvida,f1_resolvida,precision_macro,recall_macro,f1_macro,roc_auc,log_loss,brier_score,tn_nao_resolvida,fp_nao_resolvida_classificada_como_resolvida,fn_resolvida_classificada_como_nao_resolvida,tp_resolvida
validacao,XGBoost,0.5299999999999998,0.648435,0.6058381679389313,0.5659600200812377,0.5852205357511547,0.6418989781493598,0.6393650718085707,0.6400749178901122,0.6861472400137264,0.6486033201217651,0.22822289168834686,80084,32272,38041,49603
validacao,Regressão Logística,0.44999999999999984,0.640205,0.5957324739688237,0.5568321847473872,0.575625866187008,0.6333958400467684,0.6310363351733661,0.6316756275626602,0.6760148461610331,0.6368397371315719,0.2226295142497067,79238,33118,38841,48803
validacao,SVM Linear calibrado,0.5399999999999998,0.639295,0.595165310056106,0.5531240016430103,0.5733750450924617,0.6323907901980699,0.6298186137304731,0.630472575144075,0.67483428626623,0.6522628849062952,0.2299116576837129,79381,32975,39166,48478
validacao,Árvore de Decisão,0.44999999999999984,0.64512,0.6373072360616845,0.44135365798001003,0.5215316165565592,0.6429156636289586,0.6227114332835006,0.6197501522344109,0.6539663061275696,0.6440116312397841,0.22599519953448916,90342,22014,48962,38682
validacao,Baseline - média por Grupo Problema,0.5799999999999997,0.481985,0.4384169541493984,0.6481561772625621,0.5230437764999977,0.5002796571618817,0.5002591559530084,0.47811752351148373,0.48813600963592196,0.7314743965092834,0.2688379829133076,39590,72766,30837,56807
validacao,Baseline - média geral,0.5899999999999997,0.56178,0.0,0.0,0.0,0.28089,0.5,0.3597049520419009,0.5,0.7306640543550157,0.26852451250000003,112356,0,87644,0
